challenge_id,challenge_slug,challenge_total_point,skill_id,skill_nom,derived_framework,montant,cle_cible
235,servir-une-cause,3,59,VOLONTÉ : SERVICE,Volonté - Ombre,3,volonte.ombre
236,le-point-zero-entrer-dans-le-jeu,5,64,IMAGINATION : PROJECTION,Imagination - Lumière,2,imagination.lumiere
236,le-point-zero-entrer-dans-le-jeu,5,73,DÉSIR : FERVEUR,Désir - Lumière,2,desir.lumiere
236,le-point-zero-entrer-dans-le-jeu,5,76,ÉMOTION : PRÉSENCE,Émotion - Source,1,emotion.source
237,avant-le-zero,6,60,VOLONTÉ : SOUVERAINETÉ,Volonté - Source,2,volonte.source
237,avant-le-zero,6,64,IMAGINATION : PROJECTION,Imagination - Lumière,2,imagination.lumiere
237,avant-le-zero,6,65,ÉMOTION : PASSION,Émotion - Lumière,2,emotion.lumiere
238,une-drole-d-epoque,5,64,IMAGINATION : PROJECTION,Imagination - Lumière,2,imagination.lumiere
238,une-drole-d-epoque,5,65,ÉMOTION : PASSION,Émotion - Lumière,2,emotion.lumiere
238,une-drole-d-epoque,5,70,INTUITION : OUVERTURE,Intuition - Ombre,1,intuition.ombre
239,et-moi-dans-tout-ca,6,62,DÉSIR : INTENTION,Désir - Source,2,desir.source
239,et-moi-dans-tout-ca,6,64,IMAGINATION : PROJECTION,Imagination - Lumière,2,imagination.lumiere
239,et-moi-dans-tout-ca,6,70,INTUITION : OUVERTURE,Intuition - Ombre,2,intuition.ombre
241,le-site-du-point-zero,5,64,IMAGINATION : PROJECTION,Imagination - Lumière,2,imagination.lumiere
241,le-site-du-point-zero,5,67,COMMUNICATION : ÉCOUTE,Communication - Ombre,1,communication.ombre
241,le-site-du-point-zero,5,70,INTUITION : OUVERTURE,Intuition - Ombre,2,intuition.ombre
242,le-signe-de-reconnaissance,4,60,VOLONTÉ : SOUVERAINETÉ,Volonté - Source,2,volonte.source
242,le-signe-de-reconnaissance,4,68,COMMUNICATION : PERSUASION,Communication - Lumière,1,communication.lumiere
242,le-signe-de-reconnaissance,4,69,INTUITION : CONVICTION,Intuition - Lumière,1,intuition.lumiere
243,les-choses-se-precisent,6,65,ÉMOTION : PASSION,Émotion - Lumière,2,emotion.lumiere
243,les-choses-se-precisent,6,68,COMMUNICATION : PERSUASION,Communication - Lumière,2,communication.lumiere
243,les-choses-se-precisent,6,70,INTUITION : OUVERTURE,Intuition - Ombre,2,intuition.ombre
244,decouvrir-les-formats,4,59,VOLONTÉ : SERVICE,Volonté - Ombre,2,volonte.ombre
244,decouvrir-les-formats,4,64,IMAGINATION : PROJECTION,Imagination - Lumière,1,imagination.lumiere
244,decouvrir-les-formats,4,70,INTUITION : OUVERTURE,Intuition - Ombre,1,intuition.ombre
245,le-sas-d-entree,5,60,VOLONTÉ : SOUVERAINETÉ,Volonté - Source,2,volonte.source
245,le-sas-d-entree,5,62,DÉSIR : INTENTION,Désir - Source,2,desir.source
245,le-sas-d-entree,5,69,INTUITION : CONVICTION,Intuition - Lumière,1,intuition.lumiere
246,vivre-l-atelier-point-zero,7,59,VOLONTÉ : SERVICE,Volonté - Ombre,3,volonte.ombre
246,vivre-l-atelier-point-zero,7,65,ÉMOTION : PASSION,Émotion - Lumière,2,emotion.lumiere
246,vivre-l-atelier-point-zero,7,67,COMMUNICATION : ÉCOUTE,Communication - Ombre,2,communication.ombre
247,mon-recit-de-passage,8,67,COMMUNICATION : ÉCOUTE,Communication - Ombre,3,communication.ombre
247,mon-recit-de-passage,8,68,COMMUNICATION : PERSUASION,Communication - Lumière,3,communication.lumiere
247,mon-recit-de-passage,8,69,INTUITION : CONVICTION,Intuition - Lumière,2,intuition.lumiere
248,l-ecosysteme-point-zero,4,59,VOLONTÉ : SERVICE,Volonté - Ombre,2,volonte.ombre
248,l-ecosysteme-point-zero,4,64,IMAGINATION : PROJECTION,Imagination - Lumière,1,imagination.lumiere
248,l-ecosysteme-point-zero,4,69,INTUITION : CONVICTION,Intuition - Lumière,1,intuition.lumiere
254,le-conseil-omega,6,71,DÉSIR : AMPLIFICATION,Désir - Lumière,2,desir.lumiere
254,le-conseil-omega,6,82,VOLONTÉ : DÉVOUEMENT,Volonté - Ombre,2,volonte.ombre
254,le-conseil-omega,6,97,INTUITION : CERTITUDE,Intuition - Lumière,2,intuition.lumiere
257,le-coupable-ideal,4,64,IMAGINATION : PROJECTION,Imagination - Lumière,2,imagination.lumiere
257,le-coupable-ideal,4,73,DÉSIR : FERVEUR,Désir - Lumière,1,desir.lumiere
257,le-coupable-ideal,4,76,ÉMOTION : PRÉSENCE,Émotion - Source,1,emotion.source
274,test-1,7,59,VOLONTÉ : SERVICE,Volonté - Ombre,1,volonte.ombre
274,test-1,7,67,COMMUNICATION : ÉCOUTE,Communication - Ombre,2,communication.ombre
274,test-1,7,68,COMMUNICATION : PERSUASION,Communication - Lumière,1,communication.lumiere
274,test-1,7,70,INTUITION : OUVERTURE,Intuition - Ombre,1,intuition.ombre
274,test-1,7,76,ÉMOTION : PRÉSENCE,Émotion - Source,2,emotion.source
480,faconner-mon-jumeau,5,62,DÉSIR : INTENTION,Désir - Source,5,desir.source
481,choisir-qui-marchera-a-mes-cotes,4,76,ÉMOTION : PRÉSENCE,Émotion - Source,4,emotion.source
482,choisir-ma-place-parmi-les-autres,6,91,COMMUNICATION : EXPRESSION,Communication - Source,6,communication.source
483,choisir-un-double-regard,6,96,INTUITION : DISCERNEMENT,Intuition - Source,6,intuition.source
