"ancien_skill_id","ancien_nom","ancien_cadre","ancienne_visibilite","cle_cible","nouveau_libelle","rattachements","omega_gagnes"
"67","COMMUNICATION : ÉCOUTE","Communication - Ombre","publique","communication.ombre","Communication · J'ÉCOUTE","4","0"
"94","COMMUNICATION : EFFACEMENT","Communication - Ombre","privée","communication.ombre","Communication · J'ÉCOUTE","0","0"
"93","COMMUNICATION : ENVOÛTEMENT","Communication - Lumière","privée","communication.lumiere","Communication · JE CAPTIVE","0","0"
"91","COMMUNICATION : EXPRESSION","Communication - Source","privée","communication.source","Communication · JE M'EXPRIME","1","0"
"68","COMMUNICATION : PERSUASION","Communication - Lumière","publique","communication.lumiere","Communication · JE CAPTIVE","4","0"
"92","COMMUNICATION : SÉDUCTION","Communication - Lumière","privée","communication.lumiere","Communication · JE CAPTIVE","0","0"
"95","COMMUNICATION : SILENCE","Communication - Ombre","privée","communication.ombre","Communication · J'ÉCOUTE","0","0"
"71","DÉSIR : AMPLIFICATION","Désir - Lumière","publique","desir.lumiere","Désir · J'EMBRASE","1","0"
"61","DÉSIR : CONTRÔLE","Désir - Ombre","privée","desir.ombre","Désir · JE CONTIENS","0","0"
"72","DÉSIR : EXALTATION","Désir - Lumière","privée","desir.lumiere","Désir · J'EMBRASE","0","0"
"73","DÉSIR : FERVEUR","Désir - Lumière","publique","desir.lumiere","Désir · J'EMBRASE","2","0"
"75","DÉSIR : INHIBITION","Désir - Ombre","privée","desir.ombre","Désir · JE CONTIENS","0","0"
"62","DÉSIR : INTENTION","Désir - Source","publique","desir.source","Désir · JE SUIS","3","5"
"74","DÉSIR : RETENUE","Désir - Ombre","privée","desir.ombre","Désir · JE CONTIENS","0","0"
"78","ÉMOTION : COMMUNION","Émotion - Lumière","privée","emotion.lumiere","Émotion · JE COMMUNIE","0","0"
"79","ÉMOTION : DÉTACHEMENT","Émotion - Ombre","privée","emotion.ombre","Émotion · JE DISTANCIE","0","0"
"66","ÉMOTION : DISSOCIATION","Émotion - Ombre","privée","emotion.ombre","Émotion · JE DISTANCIE","0","0"
"77","ÉMOTION : FUSION","Émotion - Lumière","privée","emotion.lumiere","Émotion · JE COMMUNIE","0","0"
"80","ÉMOTION : GLACIATION","Émotion - Ombre","privée","emotion.ombre","Émotion · JE DISTANCIE","0","0"
"65","ÉMOTION : PASSION","Émotion - Lumière","publique","emotion.lumiere","Émotion · JE COMMUNIE","4","0"
"76","ÉMOTION : PRÉSENCE","Émotion - Source","publique","emotion.source","Émotion · JE RESSENS","4","0"
"89","IMAGINATION : CONFORMITÉ","Imagination - Ombre","privée","imagination.ombre","Imagination · JE RÉALISE","0","0"
"86","IMAGINATION : CRÉATION","Imagination - Source","privée","imagination.source","Imagination · JE CRÉE","0","0"
"87","IMAGINATION : INSPIRATION","Imagination - Lumière","privée","imagination.lumiere","Imagination · JE RÊVE","0","0"
"64","IMAGINATION : PROJECTION","Imagination - Lumière","publique","imagination.lumiere","Imagination · JE RÊVE","8","0"
"63","IMAGINATION : RÉALISME","Imagination - Ombre","privée","imagination.ombre","Imagination · JE RÉALISE","0","0"
"90","IMAGINATION : VACUITÉ","Imagination - Ombre","privée","imagination.ombre","Imagination · JE RÉALISE","0","0"
"88","IMAGINATION : VISION FOLLE","Imagination - Lumière","privée","imagination.lumiere","Imagination · JE RÊVE","0","0"
"97","INTUITION : CERTITUDE","Intuition - Lumière","publique","intuition.lumiere","Intuition · JE CROIS","1","0"
"69","INTUITION : CONVICTION","Intuition - Lumière","publique","intuition.lumiere","Intuition · JE CROIS","4","0"
"96","INTUITION : DISCERNEMENT","Intuition - Source","privée","intuition.source","Intuition · JE DISCERNE","1","0"
"98","INTUITION : FOI TOTALE","Intuition - Lumière","privée","intuition.lumiere","Intuition · JE CROIS","0","0"
"102","INTUITION : NON-SAVOIR","Intuition - Ombre","privée","intuition.ombre","Intuition · JE DOUTE","0","0"
"70","INTUITION : OUVERTURE","Intuition - Ombre","publique","intuition.ombre","Intuition · JE DOUTE","6","0"
"99","INTUITION : SUSPENSION","Intuition - Ombre","privée","intuition.ombre","Intuition · JE DOUTE","0","0"
"82","VOLONTÉ : DÉVOUEMENT","Volonté - Ombre","publique","volonte.ombre","Volonté · JE SERS","1","0"
"85","VOLONTÉ : DOMINATION","Volonté - Lumière","privée","volonte.lumiere","Volonté · JE DIRIGE","0","0"
"81","VOLONTÉ : INITIATIVE","Volonté - Lumière","privée","volonte.lumiere","Volonté · JE DIRIGE","0","0"
"84","VOLONTÉ : LEADERSHIP","Volonté - Lumière","privée","volonte.lumiere","Volonté · JE DIRIGE","0","0"
"83","VOLONTÉ : SACRIFICE","Volonté - Ombre","privée","volonte.ombre","Volonté · JE SERS","0","0"
"59","VOLONTÉ : SERVICE","Volonté - Ombre","publique","volonte.ombre","Volonté · JE SERS","5","0"
"60","VOLONTÉ : SOUVERAINETÉ","Volonté - Source","publique","volonte.source","Volonté · JE DÉCIDE","3","0"
