id,nom,framework,derived_framework,communaute,visibilite,rattachements,points_n,points_omega,cle_cible,verbe_cible,statut,raison
67,COMMUNICATION : ÉCOUTE,Point Zéro,Communication - Ombre,Point Zéro - Monde 0,publique,4,0,0,communication.ombre,J'ÉCOUTE,correspond,"nom ""ecoute"" listé parmi les anciens libellés de J'ÉCOUTE"
94,COMMUNICATION : EFFACEMENT,Point Zéro,Communication - Ombre,Cercle pédagogique PZ,privée,0,0,0,communication.ombre,J'ÉCOUTE,correspond,"nom ""effacement"" listé parmi les anciens libellés de J'ÉCOUTE"
93,COMMUNICATION : ENVOÛTEMENT,Point Zéro,Communication - Lumière,Cercle pédagogique PZ,privée,0,0,0,communication.lumiere,JE CAPTIVE,correspond,"nom ""envoutement"" listé parmi les anciens libellés de JE CAPTIVE"
91,COMMUNICATION : EXPRESSION,Point Zéro,Communication - Source,Cercle pédagogique PZ,privée,1,0,0,communication.source,JE M'EXPRIME,Source — nom inventorié,"cadre Source : le nom historique est ""expression"", à consigner tel quel"
68,COMMUNICATION : PERSUASION,Point Zéro,Communication - Lumière,Point Zéro - Monde 0,publique,4,0,0,communication.lumiere,JE CAPTIVE,correspond,"nom ""persuasion"" listé parmi les anciens libellés de JE CAPTIVE"
92,COMMUNICATION : SÉDUCTION,Point Zéro,Communication - Lumière,Cercle pédagogique PZ,privée,0,0,0,communication.lumiere,JE CAPTIVE,correspond,"nom ""seduction"" listé parmi les anciens libellés de JE CAPTIVE"
95,COMMUNICATION : SILENCE,Point Zéro,Communication - Ombre,Cercle pédagogique PZ,privée,0,0,0,communication.ombre,J'ÉCOUTE,correspond,"nom ""silence"" listé parmi les anciens libellés de J'ÉCOUTE"
71,DÉSIR : AMPLIFICATION,Point Zéro,Désir - Lumière,Point Zéro - Monde 0,publique,1,0,0,desir.lumiere,J'EMBRASE,correspond,"nom ""amplification"" listé parmi les anciens libellés de J'EMBRASE"
61,DÉSIR : CONTRÔLE,Point Zéro,Désir - Ombre,Cercle pédagogique PZ,privée,0,0,0,desir.ombre,JE CONTIENS,correspond,"nom ""controle"" listé parmi les anciens libellés de JE CONTIENS"
72,DÉSIR : EXALTATION,Point Zéro,Désir - Lumière,Cercle pédagogique PZ,privée,0,0,0,desir.lumiere,J'EMBRASE,correspond,"nom ""exaltation"" listé parmi les anciens libellés de J'EMBRASE"
73,DÉSIR : FERVEUR,Point Zéro,Désir - Lumière,Point Zéro - Monde 0,publique,2,0,0,desir.lumiere,J'EMBRASE,correspond,"nom ""ferveur"" listé parmi les anciens libellés de J'EMBRASE"
75,DÉSIR : INHIBITION,Point Zéro,Désir - Ombre,Cercle pédagogique PZ,privée,0,0,0,desir.ombre,JE CONTIENS,correspond,"nom ""inhibition"" listé parmi les anciens libellés de JE CONTIENS"
62,DÉSIR : INTENTION,Point Zéro,Désir - Source,Point Zéro - Monde 0,publique,3,1,5,desir.source,JE SUIS,Source — nom inventorié,"cadre Source : le nom historique est ""intention"", à consigner tel quel"
74,DÉSIR : RETENUE,Point Zéro,Désir - Ombre,Cercle pédagogique PZ,privée,0,0,0,desir.ombre,JE CONTIENS,correspond,"nom ""retenue"" listé parmi les anciens libellés de JE CONTIENS"
78,ÉMOTION : COMMUNION,Point Zéro,Émotion - Lumière,Cercle pédagogique PZ,privée,0,0,0,emotion.lumiere,JE COMMUNIE,correspond,"nom ""communion"" listé parmi les anciens libellés de JE COMMUNIE"
79,ÉMOTION : DÉTACHEMENT,Point Zéro,Émotion - Ombre,Cercle pédagogique PZ,privée,0,0,0,emotion.ombre,JE DISTANCIE,correspond,"nom ""detachement"" listé parmi les anciens libellés de JE DISTANCIE"
66,ÉMOTION : DISSOCIATION,Point Zéro,Émotion - Ombre,Cercle pédagogique PZ,privée,0,0,0,emotion.ombre,JE DISTANCIE,correspond,"nom ""dissociation"" listé parmi les anciens libellés de JE DISTANCIE"
77,ÉMOTION : FUSION,Point Zéro,Émotion - Lumière,Cercle pédagogique PZ,privée,0,0,0,emotion.lumiere,JE COMMUNIE,correspond,"nom ""fusion"" listé parmi les anciens libellés de JE COMMUNIE"
80,ÉMOTION : GLACIATION,Point Zéro,Émotion - Ombre,Cercle pédagogique PZ,privée,0,0,0,emotion.ombre,JE DISTANCIE,correspond,"nom ""glaciation"" listé parmi les anciens libellés de JE DISTANCIE"
65,ÉMOTION : PASSION,Point Zéro,Émotion - Lumière,Point Zéro - Monde 0,publique,4,0,0,emotion.lumiere,JE COMMUNIE,correspond,"nom ""passion"" listé parmi les anciens libellés de JE COMMUNIE"
76,ÉMOTION : PRÉSENCE,Point Zéro,Émotion - Source,Point Zéro - Monde 0,publique,4,0,0,emotion.source,JE RESSENS,Source — nom inventorié,"cadre Source : le nom historique est ""presence"", à consigner tel quel"
