cadre,cle_cible,omega_promis_par_les_experiences,omega_gagnes_en_base,dans_les_18
Communication - Lumière,communication.lumiere,7,0,oui
Communication - Ombre,communication.ombre,8,0,oui
Communication - Source,communication.source,6,0,oui
Désir - Lumière,desir.lumiere,5,0,oui
Désir - Source,desir.source,9,5,oui
Imagination - Lumière,imagination.lumiere,14,0,oui
Intuition - Lumière,intuition.lumiere,7,0,oui
Intuition - Ombre,intuition.ombre,9,0,oui
Intuition - Source,intuition.source,6,0,oui
Volonté - Ombre,volonte.ombre,13,0,oui
Volonté - Source,volonte.source,6,0,oui
Émotion - Lumière,emotion.lumiere,8,0,oui
Émotion - Source,emotion.source,8,0,oui
TOTAL,"",106,5,""
hors des 18 (à décider),"",0,0,""
joueurs ayant des Ω,"","",1,""
