"cle_cible","puissance","polarite","verbe","cadre_a_preserver","anciens_libelles"
"desir.ombre","Désir","Ombre","JE CONTIENS","Désir - Ombre","Retenue / Contrôle / Inhibition"
"desir.source","Désir","Source","JE SUIS","Désir - Source","DÉSIR : INTENTION"
"desir.lumiere","Désir","Lumière","J'EMBRASE","Désir - Lumière","Amplification / Exaltation / Ferveur"
"volonte.ombre","Volonté","Ombre","JE SERS","Volonté - Ombre","Service / Dévouement / Sacrifice"
"volonte.source","Volonté","Source","JE DÉCIDE","Volonté - Source","VOLONTÉ : SOUVERAINETÉ"
"volonte.lumiere","Volonté","Lumière","JE DIRIGE","Volonté - Lumière","Initiative / Leadership / Domination"
"imagination.ombre","Imagination","Ombre","JE RÉALISE","Imagination - Ombre","Réalisme / Conformité / Vacuité"
"imagination.source","Imagination","Source","JE CRÉE","Imagination - Source","IMAGINATION : CRÉATION"
"imagination.lumiere","Imagination","Lumière","JE RÊVE","Imagination - Lumière","Projection / Inspiration / Vision folle"
"emotion.ombre","Émotion","Ombre","JE DISTANCIE","Émotion - Ombre","Détachement / Dissociation / Glaciation"
"emotion.source","Émotion","Source","JE RESSENS","Émotion - Source","ÉMOTION : PRÉSENCE"
"emotion.lumiere","Émotion","Lumière","JE COMMUNIE","Émotion - Lumière","Passion / Fusion / Communion"
"communication.ombre","Communication","Ombre","J'ÉCOUTE","Communication - Ombre","Écoute / Effacement / Silence"
"communication.source","Communication","Source","JE M'EXPRIME","Communication - Source","COMMUNICATION : EXPRESSION"
"communication.lumiere","Communication","Lumière","JE CAPTIVE","Communication - Lumière","Persuasion / Séduction / Envoûtement"
"intuition.ombre","Intuition","Ombre","JE DOUTE","Intuition - Ombre","Ouverture / Suspension / Non-savoir"
"intuition.source","Intuition","Source","JE DISCERNE","Intuition - Source","INTUITION : DISCERNEMENT"
"intuition.lumiere","Intuition","Lumière","JE CROIS","Intuition - Lumière","Conviction / Certitude / Foi totale"
